candidate_id,age,gender,height_cm,weight_kg,matric_percentage,inter_percentage,cgpa,physical_fitness_score,medical_status,marital_status,city,computer_skills,leadership_score,communication_score,branch_preference,eligibility_status
PN-10018,25,Male,179.3,85.4,65.07,61.75,0.0,70,Fit,Single,Karachi,Advanced,63,57,IT & Cyber,Eligible
PN-13383,19,Male,180.2,70.3,65.32,60.16,0.0,68,Fit,Single,Gujranwala,Advanced,70,76,Marine Engineering,Eligible
PN-16325,23,Male,155.3,68.2,75.21,82.09,2.82,81,Unfit,Married,Peshawar,Advanced,59,73,Marine Engineering,Not Eligible
PN-14802,33,Male,177.4,72.6,65.62,76.79,0.0,58,Fit,Single,Rawalpindi,Advanced,81,45,Logistics,Not Eligible
PN-18350,16,Male,172.5,80.8,68.01,67.68,0.0,67,Fit,Single,Lahore,Beginner,59,50,Combat,Eligible
PN-15222,16,Female,157.5,55.2,33.0,40.23,1.52,64,Unfit,Single,Rawalpindi,Beginner,49,42,Naval Aviation,Not Eligible
PN-15550,21,Female,152.3,60.9,55.66,65.75,0.0,87,Fit,Single,Rawalpindi,Intermediate,84,80,Combat,Eligible
PN-16581,20,Female,150.7,55.6,51.54,68.11,3.16,66,Fit,Married,Hyderabad,Intermediate,58,69,Marine Engineering,Eligible
PN-15548,21,Female,154.1,67.1,40.57,59.25,0.0,45,Fit,Single,Islamabad,Intermediate,50,83,IT & Cyber,Not Eligible
PN-18242,25,Male,179.7,76.2,84.37,56.07,0.0,46,Fit,Single,Rawalpindi,Advanced,75,91,Combat,Not Eligible
PN-14353,16,Male,169.1,63.2,54.76,44.99,0.0,29,Unfit,Single,Peshawar,Intermediate,49,48,Marine Engineering,Not Eligible
PN-13003,19,Male,163.4,69.9,45.11,39.49,1.56,94,Fit,Single,Peshawar,Beginner,63,46,Combat,Not Eligible
PN-16241,17,Female,166.5,52.2,64.52,64.95,0.0,65,Fit,Married,Rawalpindi,Beginner,57,54,Logistics,Eligible
PN-16119,25,Male,165.1,81.9,83.68,68.48,3.27,77,Fit,Single,Rawalpindi,Beginner,53,54,Combat,Eligible
PN-15328,18,Male,171.8,74.8,57.53,62.06,2.24,56,Fit,Single,Multan,Intermediate,67,57,Logistics,Eligible
PN-10512,18,Female,166.4,43.9,76.4,80.07,3.38,49,Unfit,Single,Peshawar,Beginner,47,67,Marine Engineering,Not Eligible
PN-12524,34,Male,173.0,75.6,61.73,41.06,0.0,93,Fit,Single,Karachi,Advanced,65,58,Naval Aviation,Not Eligible
PN-14604,23,Female,163.5,49.9,84.78,74.24,2.89,67,Fit,Single,Rawalpindi,Beginner,55,73,Marine Engineering,Eligible
PN-12456,24,Male,173.8,74.5,40.47,42.01,1.7,62,Fit,Single,Multan,Intermediate,96,83,Marine Engineering,Not Eligible
PN-14249,18,Male,182.0,78.5,62.19,50.17,1.83,79,Fit,Married,Rawalpindi,Intermediate,96,66,IT & Cyber,Eligible
PN-17846,16,Male,164.2,66.0,73.98,83.23,2.88,50,Unfit,Single,Islamabad,Beginner,61,61,Combat,Not Eligible
PN-12276,24,Male,170.6,76.8,64.25,83.75,0.0,76,Fit,Married,Karachi,Beginner,55,76,Combat,Eligible
PN-16965,25,Female,159.5,49.4,63.62,61.28,2.58,36,Unfit,Single,Lahore,Intermediate,47,60,Combat,Not Eligible
PN-12861,25,Male,171.6,73.0,63.02,70.38,2.56,63,Fit,Single,Karachi,Intermediate,49,35,Medical Corps,Eligible
PN-13458,16,Male,170.2,77.4,39.18,53.01,0.0,59,Fit,Single,Lahore,Advanced,64,53,Medical Corps,Not Eligible
PN-11296,18,Male,176.7,68.3,79.34,71.94,3.0,52,Fit,Single,Hyderabad,Intermediate,54,64,Marine Engineering,Eligible
PN-14340,23,Female,153.3,52.8,58.53,67.83,3.17,62,Fit,Single,Quetta,Intermediate,57,70,Naval Aviation,Eligible
PN-13166,24,Female,154.9,64.8,67.77,56.59,2.55,50,Fit,Single,Rawalpindi,Intermediate,40,65,Combat,Eligible
PN-13004,24,Male,170.7,75.9,64.92,68.69,2.48,81,Unfit,Single,Multan,Intermediate,35,67,Naval Aviation,Not Eligible
PN-17363,23,Male,171.0,75.1,59.27,54.76,0.0,54,Fit,Single,Lahore,Beginner,52,69,Marine Engineering,Not Eligible
PN-15799,25,Female,146.8,50.0,43.05,47.35,2.25,72,Fit,Single,Rawalpindi,Beginner,73,53,Marine Engineering,Not Eligible
PN-14535,22,Female,164.3,59.7,44.68,67.19,2.44,56,Fit,Single,Peshawar,Intermediate,60,54,IT & Cyber,Not Eligible
PN-17840,16,Male,180.9,62.4,93.75,89.21,3.3,60,Fit,Single,Lahore,Intermediate,41,45,Naval Aviation,Eligible
PN-12759,18,Male,165.6,79.6,68.22,61.35,1.79,69,Fit,Single,Karachi,Advanced,66,70,Marine Engineering,Eligible
PN-16631,19,Male,174.0,57.0,53.97,57.78,2.6,80,Unfit,Single,Islamabad,Beginner,57,64,IT & Cyber,Not Eligible
PN-10842,22,Male,167.1,56.1,58.44,64.72,2.45,67,Fit,Single,Lahore,Intermediate,51,48,Marine Engineering,Eligible
PN-14437,23,Female,162.1,54.1,75.08,68.75,3.05,55,Fit,Single,Islamabad,Intermediate,63,66,Medical Corps,Eligible
PN-16021,17,Male,181.5,70.3,59.71,54.09,0.0,31,Fit,Single,Peshawar,Intermediate,47,44,Combat,Not Eligible
PN-10857,17,Male,180.9,64.5,45.76,45.59,0.0,90,Fit,Married,Karachi,Intermediate,58,50,Marine Engineering,Not Eligible
PN-10677,20,Male,169.7,66.6,48.61,49.65,0.0,42,Fit,Single,Hyderabad,Advanced,68,56,Logistics,Not Eligible
PN-16649,33,Male,169.9,66.4,100.0,89.52,0.0,74,Unfit,Single,Gujranwala,Advanced,37,39,Combat,Not Eligible
PN-14982,16,Male,169.6,75.3,83.24,75.38,3.09,47,Fit,Single,Islamabad,Beginner,53,56,IT & Cyber,Not Eligible
PN-14044,22,Female,158.2,61.6,47.38,56.6,2.72,88,Fit,Single,Lahore,Intermediate,68,62,IT & Cyber,Not Eligible
PN-18296,18,Male,165.5,63.5,80.84,82.65,0.0,39,Fit,Single,Faisalabad,Intermediate,92,96,Logistics,Not Eligible
PN-12518,25,Male,177.3,89.3,83.56,68.34,0.0,51,Fit,Single,Karachi,Beginner,69,73,Naval Aviation,Eligible
PN-16331,19,Female,157.5,61.4,69.69,70.3,0.0,37,Fit,Single,Quetta,Intermediate,65,68,Combat,Not Eligible
PN-14324,22,Male,181.1,64.7,51.65,61.01,0.0,63,Fit,Single,Islamabad,Beginner,58,55,Combat,Not Eligible
PN-13482,20,Male,179.0,56.1,70.64,87.13,0.0,90,Fit,Single,Karachi,Intermediate,63,76,Marine Engineering,Eligible
PN-13978,29,Female,160.1,56.5,65.27,58.05,2.39,34,Unfit,Single,Gujranwala,Intermediate,80,88,Combat,Not Eligible
PN-17072,22,Male,177.1,72.0,61.48,54.05,1.92,74,Fit,Married,Islamabad,Intermediate,66,80,Naval Aviation,Eligible
PN-14770,25,Male,167.9,78.9,82.43,65.56,2.76,40,Fit,Single,Peshawar,Intermediate,76,43,IT & Cyber,Not Eligible
PN-11375,25,Female,160.4,42.0,61.33,52.13,0.0,69,Fit,Single,Karachi,Beginner,60,82,Logistics,Eligible
PN-16533,24,Male,180.2,82.0,78.82,56.3,2.13,54,Fit,Single,Gujranwala,Intermediate,58,51,Logistics,Eligible
PN-13144,18,Female,164.1,59.5,69.48,73.19,0.0,78,Fit,Single,Rawalpindi,Intermediate,67,58,Naval Aviation,Eligible
PN-12719,22,Male,165.6,77.8,76.96,81.43,3.5,58,Fit,Single,Karachi,Intermediate,91,75,Marine Engineering,Eligible
PN-10587,21,Female,157.1,69.2,51.45,60.42,2.36,74,Fit,Single,Rawalpindi,Intermediate,100,91,Logistics,Eligible
PN-14013,28,Female,166.6,57.9,48.0,48.37,0.0,50,Fit,Single,Peshawar,Intermediate,65,75,Marine Engineering,Not Eligible
PN-11314,16,Male,173.5,83.6,84.18,71.55,3.35,67,Unfit,Single,Lahore,Intermediate,56,48,IT & Cyber,Not Eligible
PN-10319,20,Male,178.8,75.8,67.06,61.27,0.0,44,Fit,Single,Lahore,Advanced,53,64,IT & Cyber,Not Eligible
PN-16451,31,Female,152.4,72.3,43.76,44.36,0.0,97,Unfit,Single,Lahore,Advanced,30,53,IT & Cyber,Not Eligible
PN-11211,25,Male,177.1,86.6,63.7,62.98,0.0,74,Fit,Single,Lahore,Beginner,74,69,Logistics,Eligible
PN-16018,16,Male,174.6,81.3,70.33,68.89,0.0,42,Fit,Single,Quetta,Intermediate,43,60,Combat,Not Eligible
PN-17238,25,Male,175.2,68.5,63.11,44.35,1.97,80,Fit,Single,Lahore,Intermediate,59,57,Marine Engineering,Not Eligible
PN-16748,17,Male,177.1,81.1,55.24,52.76,2.08,45,Unfit,Single,Lahore,Intermediate,69,48,Marine Engineering,Not Eligible
PN-13488,19,Male,183.4,76.2,84.88,84.66,3.55,69,Fit,Single,Rawalpindi,Advanced,84,65,Marine Engineering,Eligible
PN-17286,25,Male,166.5,88.0,56.53,64.86,0.0,54,Fit,Single,Karachi,Intermediate,52,62,Logistics,Not Eligible
PN-17348,20,Male,170.6,56.1,61.88,64.87,0.0,85,Fit,Single,Karachi,Advanced,52,45,Logistics,Eligible
PN-17776,22,Male,174.5,66.3,77.48,56.36,0.0,49,Fit,Single,Karachi,Intermediate,60,56,Logistics,Not Eligible
PN-18173,18,Male,173.7,52.6,45.84,52.27,0.0,71,Unfit,Single,Rawalpindi,Intermediate,31,41,Logistics,Not Eligible
PN-14619,22,Male,168.9,62.9,57.78,70.81,0.0,54,Fit,Single,Multan,Intermediate,56,41,Logistics,Not Eligible
PN-10458,28,Male,173.5,54.2,54.63,44.95,1.56,56,Unfit,Single,Lahore,Intermediate,83,61,Logistics,Not Eligible
PN-10713,24,Male,172.9,83.3,87.38,86.65,0.0,56,Fit,Married,Lahore,Intermediate,65,55,Marine Engineering,Eligible
PN-17039,20,Male,158.7,60.0,75.3,68.09,0.0,74,Fit,Single,Karachi,Intermediate,73,76,IT & Cyber,Eligible
PN-12224,22,Male,165.8,74.6,75.06,68.85,2.56,95,Fit,Single,Islamabad,Advanced,51,55,Logistics,Eligible
PN-10731,17,Female,157.3,51.2,83.93,62.0,2.46,38,Fit,Single,Faisalabad,Intermediate,71,76,Marine Engineering,Not Eligible
PN-13401,23,Female,151.2,67.6,57.25,60.71,0.0,63,Fit,Single,Rawalpindi,Intermediate,50,53,IT & Cyber,Not Eligible
PN-16188,16,Male,167.7,72.6,60.61,35.06,1.5,76,Unfit,Single,Islamabad,Beginner,60,41,Combat,Not Eligible
PN-10009,25,Female,157.2,54.5,62.95,66.97,2.39,77,Fit,Married,Multan,Beginner,71,57,IT & Cyber,Eligible
PN-11430,16,Male,163.2,76.2,63.79,57.15,0.0,43,Unfit,Single,Karachi,Beginner,64,38,Combat,Not Eligible
PN-15142,17,Male,171.0,53.5,55.52,54.38,0.0,55,Unfit,Single,Karachi,Intermediate,63,53,IT & Cyber,Not Eligible
PN-10354,20,Female,161.0,63.5,47.05,61.46,2.37,67,Unfit,Married,Karachi,Beginner,67,84,Combat,Not Eligible
PN-17112,17,Female,147.7,68.9,64.61,58.65,2.44,48,Fit,Single,Islamabad,Intermediate,55,54,Naval Aviation,Not Eligible
PN-10995,16,Male,177.5,68.1,41.11,46.84,0.0,41,Fit,Single,Karachi,Intermediate,71,56,Combat,Not Eligible
PN-15767,30,Male,163.8,64.0,69.16,80.59,0.0,50,Unfit,Married,Faisalabad,Beginner,66,79,Logistics,Not Eligible
PN-16684,24,Female,154.6,58.0,60.1,67.55,0.0,67,Unfit,Married,Rawalpindi,Advanced,86,77,Medical Corps,Not Eligible
PN-10222,24,Male,179.6,67.7,74.38,91.29,3.39,58,Fit,Single,Hyderabad,Beginner,73,69,Naval Aviation,Eligible
PN-17295,24,Female,150.7,60.0,58.46,59.58,0.0,60,Unfit,Single,Karachi,Advanced,63,46,Combat,Not Eligible
PN-16014,21,Female,157.6,56.6,69.67,66.77,0.0,60,Fit,Single,Multan,Intermediate,59,61,Combat,Eligible
PN-13114,17,Male,180.8,75.6,52.56,60.36,2.02,52,Unfit,Single,Faisalabad,Beginner,50,65,Combat,Not Eligible
PN-15417,21,Male,169.1,79.1,91.01,82.83,0.0,81,Fit,Married,Gujranwala,Advanced,50,45,Naval Aviation,Eligible
PN-17911,18,Female,153.9,54.3,61.29,72.38,3.27,66,Fit,Single,Faisalabad,Intermediate,74,69,IT & Cyber,Eligible
PN-10316,16,Male,175.8,80.0,64.21,58.61,2.23,51,Fit,Single,Karachi,Advanced,42,52,Medical Corps,Eligible
PN-16143,22,Male,177.2,69.6,59.22,73.03,3.1,84,Fit,Married,Karachi,Advanced,69,60,IT & Cyber,Eligible
PN-11234,24,Male,168.5,67.4,62.34,66.79,0.0,84,Fit,Single,Multan,Intermediate,55,49,IT & Cyber,Eligible
PN-12113,17,Male,169.5,59.4,74.24,78.69,0.0,49,Fit,Single,Islamabad,Intermediate,83,71,Marine Engineering,Not Eligible
PN-14210,25,Female,163.5,58.2,58.72,64.0,2.98,46,Fit,Single,Hyderabad,Beginner,79,68,IT & Cyber,Not Eligible
PN-15532,16,Male,176.1,62.0,49.1,54.0,0.0,76,Fit,Married,Lahore,Beginner,62,63,Marine Engineering,Not Eligible
PN-18423,34,Female,151.8,64.0,65.02,74.44,0.0,35,Unfit,Single,Islamabad,Beginner,40,51,Combat,Not Eligible
PN-17983,26,Female,161.3,59.6,63.58,53.31,0.0,54,Unfit,Single,Quetta,Intermediate,62,60,Marine Engineering,Not Eligible
PN-17071,18,Male,168.7,55.6,94.0,95.95,3.33,74,Fit,Single,Islamabad,Intermediate,54,51,Naval Aviation,Eligible
PN-15500,20,Male,172.8,50.4,35.59,65.65,0.0,87,Unfit,Single,Lahore,Intermediate,60,64,IT & Cyber,Not Eligible
PN-11818,16,Male,167.5,80.9,79.25,65.77,0.0,51,Fit,Single,Hyderabad,Beginner,67,70,Medical Corps,Eligible
PN-18297,28,Male,179.2,65.0,62.11,65.15,2.44,68,Unfit,Single,Islamabad,Advanced,68,73,Logistics,Not Eligible
PN-15930,33,Male,172.9,73.2,56.96,46.49,0.0,37,Fit,Single,Quetta,Beginner,50,53,Logistics,Not Eligible
PN-11633,16,Male,164.3,76.0,73.26,72.86,3.02,65,Fit,Single,Hyderabad,Advanced,68,73,Medical Corps,Eligible
PN-15021,17,Male,177.4,67.5,91.04,82.19,0.0,60,Fit,Single,Peshawar,Advanced,71,61,Marine Engineering,Eligible
PN-10488,25,Male,171.9,56.7,53.51,73.72,3.13,37,Fit,Single,Karachi,Intermediate,42,66,Combat,Not Eligible
PN-15670,18,Female,161.4,61.3,74.54,57.28,1.94,50,Fit,Single,Lahore,Intermediate,45,51,IT & Cyber,Eligible
PN-13081,21,Male,175.3,76.4,68.88,62.23,2.22,83,Fit,Single,Rawalpindi,Beginner,58,66,Combat,Eligible
PN-18294,23,Male,170.6,75.3,70.65,67.04,0.0,72,Unfit,Single,Hyderabad,Beginner,50,48,Naval Aviation,Not Eligible
PN-16387,24,Female,158.5,77.2,78.72,63.43,0.0,49,Fit,Married,Quetta,Beginner,48,56,Medical Corps,Not Eligible
PN-16285,34,Male,168.6,80.6,72.75,69.16,0.0,80,Fit,Single,Lahore,Intermediate,58,68,IT & Cyber,Not Eligible
PN-14694,25,Female,157.9,69.0,80.18,84.14,2.99,46,Fit,Single,Islamabad,Intermediate,55,81,Logistics,Not Eligible
PN-16001,16,Male,181.1,74.1,59.16,80.08,2.57,97,Unfit,Single,Lahore,Intermediate,69,66,Medical Corps,Not Eligible
PN-12216,26,Male,163.5,82.8,83.52,86.58,3.6,37,Unfit,Single,Karachi,Advanced,57,78,Combat,Not Eligible
PN-10213,33,Male,156.8,76.3,49.48,82.19,0.0,60,Fit,Married,Lahore,Intermediate,63,51,IT & Cyber,Not Eligible
PN-17753,25,Female,161.8,55.6,56.61,41.76,1.57,77,Fit,Married,Rawalpindi,Beginner,45,57,Combat,Not Eligible
PN-10240,25,Male,178.2,59.2,56.27,50.92,0.0,51,Fit,Single,Islamabad,Intermediate,74,88,Combat,Not Eligible
PN-12922,32,Female,155.4,63.7,75.66,67.39,2.7,70,Fit,Single,Islamabad,Intermediate,67,73,Combat,Not Eligible
PN-12581,21,Female,161.0,52.7,59.06,72.33,3.25,59,Fit,Single,Karachi,Advanced,65,53,Logistics,Eligible
PN-16030,16,Male,166.1,64.6,40.4,51.43,0.0,71,Fit,Single,Faisalabad,Intermediate,63,48,Marine Engineering,Not Eligible
PN-17600,22,Male,172.3,77.2,86.5,70.9,0.0,74,Fit,Married,Multan,Advanced,58,62,Combat,Eligible
PN-18277,17,Male,183.0,78.4,58.9,33.0,1.5,53,Fit,Married,Lahore,Beginner,49,43,Marine Engineering,Not Eligible
PN-11003,24,Female,161.2,44.0,65.27,72.04,2.97,63,Fit,Single,Karachi,Beginner,77,67,Combat,Eligible
PN-11927,17,Male,169.9,64.4,61.67,72.73,2.94,65,Fit,Married,Rawalpindi,Beginner,47,60,Combat,Eligible
PN-14995,18,Female,165.8,49.4,80.99,76.15,0.0,96,Fit,Single,Karachi,Intermediate,46,61,Naval Aviation,Eligible
PN-18171,23,Female,162.0,69.8,75.96,69.33,0.0,89,Fit,Single,Islamabad,Beginner,59,38,Naval Aviation,Eligible
PN-12971,22,Male,171.0,76.9,73.17,72.93,2.93,78,Fit,Single,Quetta,Advanced,31,40,Combat,Eligible
PN-12302,17,Male,174.2,56.2,79.8,73.37,0.0,48,Unfit,Single,Peshawar,Advanced,52,75,IT & Cyber,Not Eligible
PN-10734,18,Male,177.5,57.3,68.22,62.6,0.0,51,Fit,Single,Karachi,Intermediate,58,64,Marine Engineering,Not Eligible
PN-17628,16,Male,175.2,75.9,60.17,58.23,1.83,49,Fit,Single,Rawalpindi,Advanced,60,57,IT & Cyber,Not Eligible
PN-10759,25,Female,161.7,61.8,66.34,50.09,1.67,58,Fit,Single,Hyderabad,Beginner,73,75,Medical Corps,Eligible
PN-14339,25,Female,159.6,52.5,50.3,63.66,2.59,55,Fit,Married,Faisalabad,Advanced,48,40,Combat,Eligible
PN-12174,18,Male,166.7,80.3,85.03,78.44,3.26,79,Fit,Married,Rawalpindi,Advanced,64,80,Logistics,Eligible
PN-10100,23,Male,168.7,59.7,75.84,63.42,0.0,46,Fit,Single,Faisalabad,Intermediate,64,62,Medical Corps,Not Eligible
PN-13910,27,Male,176.2,87.0,66.03,61.51,0.0,59,Fit,Single,Rawalpindi,Intermediate,57,63,Naval Aviation,Not Eligible
PN-14499,20,Male,179.8,59.9,95.64,80.79,0.0,68,Fit,Single,Karachi,Intermediate,54,49,Naval Aviation,Eligible
PN-17306,17,Male,174.5,56.4,70.39,57.14,2.44,64,Fit,Single,Lahore,Intermediate,73,67,IT & Cyber,Eligible
PN-16667,24,Female,155.2,50.6,73.94,70.08,2.43,68,Fit,Single,Islamabad,Beginner,58,58,Combat,Eligible
PN-16315,17,Male,172.8,71.6,92.18,89.89,0.0,68,Unfit,Single,Lahore,Advanced,62,63,Marine Engineering,Not Eligible
